goods_name,address,picture,stock,price,description,tip,creat_time,update_time,market_time,hold_time,category,star_id
2022青鱼音乐节·枣�?枣庄,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01Ejto0F2GdSNrh3BJZ_!!2251059038.jpg,89,490,艺人：朴树、万能青年旅店、面孔乐队、夏日入侵企画、海龟先生、棱镜乐队、PeaceHotel和平饭店乐队、柳�?枣庄市民中心体育�?2022-06-22 09:10:47,2022/6/22 9:10,2022/7/19 9:10,2022/12/20 9:10,1,2,,,
2022临沂琅琊音乐�?临沂,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01p3UV1K2GdSO6V3087_!!2251059038.jpg,63,420,艺人：痛仰乐队、朴树、二手玫瑰、赵照、柳爽、九宝、低苦艾乐队、刘大壮、声音碎�?沂州古城,2022/6/2 22:20,2022/6/9 22:20,2022/7/2 22:20,2023/5/20 22:20,1,2,,
【虾米呈现�?宿羽�?022《夏日初恋》全国巡�?深圳�?深圳,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01I14pT92GdSOC06Qix_!!2251059038.jpg,91,520,艺人：宿羽阳,深圳 HOU LIVE,2022/5/9 21:41,2022/5/11 21:41,2022/5/28 21:41,2023/3/14 21:41,1,2,
【虾米呈现�?宿羽�?022《夏日初恋》全国巡�?广州�?广州,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN013tBvqB2GdSO1kzs8g_!!2251059038.jpg,25,280,艺人：宿羽阳,MAO Livehouse广州(六元素店),2022/2/6 7:00,2022/2/7 7:00,2022/2/20 7:00,2022/9/10 7:00,1,1,
第七届北京国际流行音乐周 撒欢�?LIVEHOUSE演出�?北京,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01Rlj8Zj2GdSODVjXSN_!!2251059038.jpg,54,350,,疆进酒·OMNI SPACE,2022/3/8 9:54,2022/3/10 9:54,2022/4/3 9:54,2023/2/26 9:54,1,2,
楠溪江·星巢秘境音乐节ROCKTOWN,温州,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN019ejA3d2GdSO1EMHeQ_!!2251059038.jpg,20,320,艺人：许嵩、毛不易、黑豹乐队、刺猬乐队、KEY.L刘聪、乃万、姜云升、气运联盟乐团、沙一汀、房东的猫、橘子海、康姆士COM'Z、棱镜乐队、夏日入侵企画、颜人中、焦迈奇、霓虹花园、沈以诚、回春丹、柳爽、丢火车乐队、Fine乐团、银河系、圣代、彩文乐队、帆布小镇乐队、散人乐队、时间不够以后、LeeyOn李昂、派对间谍、汉堡黄,楠溪江滩地音乐公�?2022-01-22 10:14:22,2022/2/1 10:14,2022/2/28 10:14,2022/5/23 10:14,1,1,
“KPOP STAR”舞团大�?北京,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN011fXf9l2GdSOBkecLN_!!0-item_pic.jpg,34,900,,北京想象空间,2022/7/14 6:31,2022/7/18 6:31,2022/8/3 6:31,2022/9/19 6:31,1,2,
【预订】元气森林音乐节 成都�?成都,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01rwbzkh2GdSNcCk0G6_!!2251059038.jpg,57,620,艺人：henry、小鬼、逃跑计划、万能青年旅店、王子异、张颜齐、旅行团乐队、马思唯、姜云升、沙一汀、房东的猫、乃万、麻园诗�?成都非物质文化遗产博览园,2022/3/29 12:03,2022/4/1 12:03,2022/4/20 12:03,2022/11/20 12:03,1,1,,
李大奔「野望」全国巡�?西安,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01UEcxim2GdSO9bU7zI_!!2251059038.jpg,37,10,艺人：李大奔,西演SPACE·光圈CLUB,2022/6/29 14:46,2022/7/7 14:46,2022/7/29 14:46,2023/1/25 14:46,1,1,
「有你的城市」重庆站 梁心颐LARA / 买辣椒也用券 / HAO付豪,重庆,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01fLzJCI2GdSO0jl0aL_!!2251059038.png,41,390,艺人：梁心颐、买辣椒也用券、HAO付豪,寅派动力,2022/7/23 22:23,2022/7/31 22:23,2022/8/10 22:23,2023/3/26 22:23,1,2
